Rang,Name,1970,1980,1990,2000,2010,2020,2022,Bundesland
236.,Lehrte,21.940,38.371,40.350,43.872,43.259,44.154,44.823,Niedersachsen

237.,Falkensee,26.007,24.084,22.047,33.791,40.511,44.236,44.806,Brandenburg

238.,Brühl,40.975,42.895,41.829,43.839,44.260,43.673,44.804,Nordrhein-Westfalen

239.,Rottenburg am Neckar,13.083,31.770,36.006,40.987,42.501,43.756,44.653,Baden-Württemberg

240.,Pinneberg,34.987,36.683,37.518,39.423,42.508,43.503,44.279,Schleswig-Holstein

241.,Kaarst,15.929,38.127,40.508,42.158,42.001,43.615,44.253,Nordrhein-Westfalen

242.,Erkelenz,12.435,35.773,37.833,43.194,44.457,43.275,44.215,Nordrhein-Westfalen

243.,Wismar,56.287,57.455,55.509,47.031,44.397,42.963,43.878,Mecklenburg-Vorpommern

244.,Erkrath,20.141,43.703,47.659,48.767,45.963,43.878,43.856,Nordrhein-Westfalen

245.,Bietigheim-Bissingen⁠7,22.492,34.365,38.961,40.312,42.810,43.146,43.755,Baden-Württemberg

246.,Bernau bei Berlin,13.940,17.847,19.062,24.861,36.338,40.908,43.685,Brandenburg

247.,Gifhorn,23.405,33.154,38.678,42.943,41.558,42.939,43.625,Niedersachsen

248.,Borken,29.402,32.420,36.049,40.474,41.245,42.650,43.489,Nordrhein-Westfalen

249.,Heinsberg,10.854,36.436,37.305,41.318,40.760,42.476,43.476,Nordrhein-Westfalen

250.,Nettetal,36.838,37.302,38.820,41.871,41.736,42.438,43.095,Nordrhein-Westfalen

251.,Kamen,42.058,44.017,46.160,46.565,44.398,42.875,43.058,Nordrhein-Westfalen

252.,Weiden in der Oberpfalz,42.244,43.886,42.234,43.030,41.961,42.535,43.052,Bayern

253.,Monheim am Rhein,38.094,40.559,42.656,43.514,43.063,41.279,43.050,Nordrhein-Westfalen

254.,Aurich,11.880,34.647,36.856,40.278,40.572,42.268,42.970,Niedersachsen

255.,Laatzen,13.666,34.748,37.242,38.402,40.254,41.854,42.675,Niedersachsen

256.,Amberg,41.345,44.264,43.111,43.794,43.755,42.052,42.534,Bayern

257.,Seevetal⁠(*) ⁠9,6.030⁠(a),36.059,36.740,40.536,42.213,41.889,42.449,Niedersachsen

258.,Eisenach,50.918,50.571,45.220,44.442,42.750,41.970,42.408,Thüringen

259.,Homburg,32.497,41.847,43.696,45.769,43.808,41.790,42.297,Saarland

260.,Dreieich⁠10,22.789,39.076,38.965,40.114,40.484,41.996,42.260,Hessen

261.,Ansbach,33.219,38.183,37.893,40.165,40.253,41.681,42.221,Bayern

